generacion	nodo	recorrido					ciudades
1			1		99.51375983551046			[1, 23, 25, 12, 3, 17, 9, 14, 10, 19, 11, 8, 15, 2, 4, 22, 18, 13, 6, 20, 21, 24, 16, 5, 7, 1]
1			2		111.69778037192239			[1, 5, 21, 2, 19, 20, 14, 4, 15, 8, 16, 17, 18, 10, 11, 7, 24, 22, 3, 9, 6, 13, 12, 25, 23, 1]
1			3		115.38359530619495			[1, 17, 4, 20, 21, 10, 5, 7, 22, 25, 6, 16, 12, 9, 8, 15, 14, 18, 24, 13, 19, 2, 3, 23, 11, 1]
1			4		117.29188683890918			[1, 23, 21, 24, 19, 2, 11, 6, 13, 4, 20, 22, 12, 18, 3, 25, 8, 5, 15, 16, 14, 9, 10, 7, 17, 1]
1			5		118.21823320088998			[1, 3, 18, 15, 19, 21, 20, 23, 8, 17, 12, 5, 22, 6, 13, 14, 4, 25, 24, 2, 10, 16, 9, 11, 7, 1]
1			6		118.55802145344151			[1, 18, 14, 10, 5, 24, 25, 22, 17, 13, 11, 7, 9, 2, 23, 12, 6, 3, 15, 20, 19, 4, 21, 16, 8, 1]
1			7		119.08693572723149			[1, 2, 7, 10, 24, 23, 4, 5, 20, 8, 6, 15, 13, 18, 12, 25, 22, 19, 14, 9, 11, 3, 21, 17, 16, 1]
1			8		119.8192350455032			[1, 12, 11, 15, 19, 20, 7, 17, 25, 24, 3, 9, 14, 6, 21, 22, 13, 8, 10, 16, 23, 5, 2, 18, 4, 1]
1			9		120.52794839344018			[1, 21, 22, 18, 17, 3, 15, 16, 24, 23, 25, 7, 9, 8, 11, 20, 14, 2, 4, 12, 10, 5, 19, 6, 13, 1]
1			10		120.66346793899608			[1, 2, 13, 22, 24, 8, 4, 16, 5, 3, 18, 20, 10, 15, 6, 23, 11, 25, 17, 9, 7, 19, 14, 21, 12, 1]
1			11		121.10075664570937			[1, 12, 13, 11, 10, 5, 2, 18, 14, 6, 4, 22, 21, 25, 19, 24, 16, 15, 20, 7, 23, 17, 9, 8, 3, 1]
1			12		121.5983466477343			[1, 3, 25, 17, 14, 19, 20, 22, 2, 12, 18, 11, 24, 5, 13, 6, 4, 9, 21, 23, 10, 7, 16, 8, 15, 1]
1			13		122.03663643060727			[1, 22, 25, 2, 4, 13, 20, 5, 15, 10, 17, 19, 24, 12, 8, 6, 3, 9, 18, 21, 23, 11, 7, 14, 16, 1]
1			14		122.13978396649634			[1, 4, 14, 23, 3, 9, 16, 18, 24, 13, 5, 6, 7, 10, 25, 12, 2, 11, 21, 8, 17, 15, 19, 22, 20, 1]
1			15		122.39620293204949			[1, 18, 24, 23, 2, 21, 10, 8, 13, 11, 12, 22, 20, 6, 19, 15, 25, 9, 4, 7, 3, 16, 5, 17, 14, 1]
1			16		122.88393940949389			[1, 6, 7, 20, 25, 8, 14, 2, 4, 9, 15, 5, 10, 17, 12, 13, 19, 23, 21, 22, 16, 18, 24, 11, 3, 1]
1			17		123.4786409579876			[1, 25, 24, 19, 22, 17, 15, 23, 14, 6, 20, 21, 12, 10, 4, 9, 11, 16, 5, 8, 13, 3, 2, 7, 18, 1]
1			18		123.84547422664482			[1, 7, 3, 2, 8, 21, 5, 9, 24, 25, 17, 13, 20, 19, 18, 23, 12, 6, 22, 15, 4, 10, 14, 16, 11, 1]
1			19		124.14097646298391			[1, 23, 22, 14, 4, 15, 10, 24, 18, 7, 19, 20, 21, 11, 8, 2, 17, 9, 16, 3, 13, 25, 5, 6, 12, 1]
1			20		124.17657103775633			[1, 4, 10, 6, 3, 19, 21, 8, 2, 20, 24, 18, 7, 9, 15, 22, 13, 16, 11, 23, 12, 5, 14, 17, 25, 1]
